endpoint,lat,lon,country,continent,city,org
http://deploy.rkbexplorer.com/sparql,51.5072,-0.127586,United Kingdom,Europe,London,Cloudflarenet EU
http://dewey.info/sparql.php,40.0181,-83.0117,United States,North America,Columbus,"OCLC, Inc."
http://digital-agenda-data.eu/data/sparql,48.8566,2.35222,France,Europe,Paris,Netim CIV
http://digital-agenda-data.eu/sparql,48.8566,2.35222,France,Europe,Paris,Netim CIV
http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,41.4616,15.5564,Italy,Europe,Foggia,Biblioteca Nazionale Centrale
http://drugbank.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://dskg.org/sparql,52.5234,13.3224,Germany,Europe,Berlin,Strato AG
http://dutchshipsandsailors.nl/data/sparql/,51.3692,5.2208,The Netherlands,Europe,Bladel,Internationaal Instituut voor Sociale Geschiedenis
http://ecb.publicdata.eu/sparql,50.1187,8.6842,Germany,Europe,Frankfurt am Main,"Linode, LLC"
http://edan.si.edu/saam/sparql,38.8863,-77.0209,United States,North America,Washington,Smithsonian Institution
http://el.dbpedia.org/sparql,40.6439,22.9358,Greece,Europe,Thessaloniki,AUTH
http://en.openei.org/sparql,45.5235,-122.676,United States,North America,Portland,AWS EC2 (us-west-2)
http://enipedia.tudelft.nl/sparql,27.9433,-82.526,United States,North America,Tampa,"Bodis, LLC"
http://environment.data.gov.uk/sparql/bwq/query,53.3478,-6.2597,Ireland,Europe,Dublin,Microsoft Azure Cloud (northeurope)
http://es.dbpedia.org/sparql,40.43,-3.6691,Spain,Europe,Madrid,UPM
http://eu.dbpedia.org/sparql,42.8198,-1.6374,Spain,Europe,Pamplona,Deusto
http://eur-lex.publicdata.eu/sparql,50.1187,8.6842,Germany,Europe,Frankfurt am Main,"Linode, LLC"
http://europeana.ontotext.com/sparql,42.6977,23.3219,Bulgaria,Europe,Sofia,Daticum Colo
http://eventmedia.eurecom.fr/sparql,43.6319,7.0043,France,Europe,Valbonne,Eurecom Sophia
http://example.org,40.7128,-74.006,United States,North America,New York,Edgecast Inc
http://factforge.net/repositories/ff-news,50.475,12.365,Germany,Europe,Falkenstein,Hetzner
http://factforge.net/sparql,50.475,12.365,Germany,Europe,Falkenstein,Hetzner
http://famu.eagle-i.net/sparqler/sparql,32.3895,-89.9562,United States,North America,Brandon,Ventrure Technologies - JAN LAN
http://fintrans.publicdata.eu/sparql,50.1187,8.6842,Germany,Europe,Frankfurt am Main,"Linode, LLC"
http://fr.dbpedia.org/sparql,48.837,2.10292,France,Europe,Le Chesnay-Rocquencourt,
http://ft.rkbexplorer.com/sparql,51.5072,-0.127586,United Kingdom,Europe,London,Cloudflarenet EU
http://genage.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://gendr.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://genome.microbedb.jp/sparql,35.6916,139.768,Japan,Asia,Chiyoda,
http://geo.linkeddata.es/sparql,40.43,-3.6691,Spain,Europe,Madrid,UPM
http://geosparql.demo.openlinksw.com/sparql,52.3676,4.90414,The Netherlands,Europe,Amsterdam,OpenLink Group Ltd
http://goa.bio2rdf.org/sparql,50.8268,5.7116,The Netherlands,Europe,Maastricht,Universiteit Maastricht
http://govwild.org/sparql,52.3826,13.0934,Germany,Europe,Potsdam,UNI Potsdam
http://greek-lod.auth.gr/fire-brigade/sparql,40.6439,22.9358,Greece,Europe,Thessaloniki,AUTH
http://greek-lod.auth.gr/police/sparql,40.6439,22.9358,Greece,Europe,Thessaloniki,AUTH
http://greek-lod.math.auth.gr/intervalue/sparql,40.6439,22.9358,Greece,Europe,Thessaloniki,AUTH
http://greek-lod.math.auth.gr/kalikratis/sparql,40.6439,22.9358,Greece,Europe,Thessaloniki,AUTH
http://harvard.eagle-i.net/sparqler/sparql,43.2965,5.36978,France,Europe,Marseille,AWS CloudFront (GLOBAL)
http://hawaii.eagle-i.net/sparqler/sparql,32.3895,-89.9562,United States,North America,Brandon,Ventrure Technologies - JAN LAN
http://helheim.deusto.es/hedatuz/sparql,42.8198,-1.6374,Spain,Europe,Pamplona,Deusto
